lemma,definition,type,llm_templates
biindoode,s/he crawls in,vai,"{'verbs': ['crawl'], 'templates': ['{{subject}} crawl in']}"
apiichibatoo,s/he runs at a certain speed,vai,"{'verbs': ['run'], 'templates': ['{{subject}} run at a certain speed']}"
izhigaadeni,s/he moves h/ leg a certain way,vai,"{'verbs': ['move'], 'templates': [""{{subject}} move one's leg a certain way""]}"
aabida'amaazo,s/he sings constantly,vai,"{'verbs': ['sing'], 'templates': ['{{subject}} sing constantly']}"
ozaawadowe,s/he has brown or yellow fur,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have brown or yellow fur']}"
dewidenaniwe,h/ has a sore tongue,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a sore tongue']}"
gidasige,"s/he roast things (to remove something), parches wild rice",vai,"{'verbs': ['roast', 'parch'], 'templates': ['{{subject}} roast things (to remove something)', '{{subject}} parch wild rice']}"
nishwaasoopizowag,"eight of them (animate) are tied together, are hitched together",vai,"{'verbs': ['be', 'tie', 'hitch'], 'templates': ['{{subject}} be tied together', '{{subject}} be hitched together', '(someone) tie {{object-intransitive}} together', '(someone) hitch {{object-intransitive}} together']}"
gakiiwegozi,s/he moves h/ household across a portage,vai,"{'verbs': ['move'], 'templates': [""{{subject}} move one's household across a portage""]}"
ginaginike,h/ arm itches,vai,"{'verbs': ['itch'], 'templates': [""{{subject}}'s arm itch""]}"
niiyogonagizi,s/he is four days old; it is the fourth (of the month),vai,"{'verbs': ['be'], 'templates': ['{{subject}} be four days old', '{{subject}} be the fourth (of the month)']}"
giimaabandiwag,they peek at each other,vai,"{'verbs': ['peek'], 'templates': ['{{subject}} peek at each other']}"
achinaateshimoono,"s/he or it animate lies in the shade, is behind a cloud",vai,"{'verbs': ['lie', 'be'], 'templates': ['{{subject}} lie in the shade', '{{subject}} be behind a cloud']}"
gagiibaazinam,"s/he visualizes crazy things, hallucinates",vai2,"{'verbs': ['visualize', 'hallucinate'], 'templates': ['{{subject}} visualize crazy things', '{{subject}} hallucinate']}"
gotaajishki,s/he is timid,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be timid']}"
ondaa'ogo,s/he or it (animate) drifts on the waves from a certain place,vai,"{'verbs': ['drift'], 'templates': ['{{subject}} drift on the waves from a certain place']}"
nandawaabi,s/he looks around (for something),vai,"{'verbs': ['look'], 'templates': ['{{subject}} look around (for something)']}"
bookogaade,"s/he breaks h/ (own) leg, has a broken leg",vai,"{'verbs': ['break', 'have'], 'templates': [""{{subject}} break one's leg"", '{{subject}} have a broken leg']}"
miigwechiwitaagozi,"s/he gives thanks, thanks others",vai,"{'verbs': ['give', 'thank'], 'templates': ['{{subject}} give thanks', '{{subject}} thank others']}"
azhebani'o,"s/he suddenly moves back, turns back",vai,"{'verbs': ['move', 'turn'], 'templates': ['{{subject}} suddenly move back', '{{subject}} suddenly turn back']}"
anima'amaazo,s/he goes away singing,vai,"{'verbs': ['go'], 'templates': ['{{subject}} go away singing']}"
zaamishin,s/he lies touching,vai,"{'verbs': ['lie'], 'templates': ['{{subject}} lie touching']}"
boodaakwese,"s/he slips, falls in the kettle",vai,"{'verbs': ['slip', 'fall'], 'templates': ['{{subject}} slip', '{{subject}} fall in the kettle']}"
nanawizi,"s/he gets nothing in the hunt; s/he wastes effort, is disappointed in hunting or gathering",vai,"{'verbs': ['get', 'waste', 'be'], 'templates': ['{{subject}} get nothing in the hunt', '{{subject}} waste effort', '{{subject}} be disappointed in hunting or gathering']}"
gakaandawese,s/he slips or falls off a step,vai,"{'verbs': ['slip', 'fall'], 'templates': ['{{subject}} slip off a step', '{{subject}} fall off a step']}"
gabaagwaashkwani,s/he jumps off or out [of a boat or vehicle],vai,"{'verbs': ['jump'], 'templates': ['{{subject}} jump off or out [of a boat or vehicle]']}"
bagamaapi,s/he arrives laughing,vai,"{'verbs': ['arrive'], 'templates': ['{{subject}} arrive laughing']}"
maakamanji'o,s/he feels an injury,vai,"{'verbs': ['feel'], 'templates': ['{{subject}} feel an injury']}"
ozhaawashkonaagozi,"s/he looks blue, appears blue; s/he looks green, appears green",vai,"{'verbs': ['look', 'appear'], 'templates': ['{{subject}} look blue', '{{subject}} appear blue', '{{subject}} look green', '{{subject}} appear green']}"
amaji'idizo,s/he wakes h/ self up,vai,"{'verbs': ['wake'], 'templates': ['{{subject}} wake oneself up']}"
dazhigi,s/he grows in a certain place,vai,"{'verbs': ['grow'], 'templates': ['{{subject}} grow in a certain place']}"
wanii'ige,s/he traps,vai,"{'verbs': ['trap'], 'templates': ['{{subject}} trap']}"
aawadaatigwe,s/he hauls logs,vai,"{'verbs': ['haul'], 'templates': ['{{subject}} haul logs']}"
naadashkosiwe,s/he goes after hay,vai,"{'verbs': ['go'], 'templates': ['{{subject}} go after hay']}"
wakebii,s/he gets drunk easily,vai,"{'verbs': ['get'], 'templates': ['{{subject}} get drunk easily']}"
zhegwanzon,s/he tucks it under hj/ clothing or belt,vai + o,"{'verbs': ['tuck'], 'templates': [""{{subject}} tuck it under one's clothing or belt""]}"
nitaage,"s/he kills game, kills people, murders; s/he mourns",vai,"{'verbs': ['kill', 'mourn'], 'templates': ['{{subject}} kill game', '{{subject}} kill people', '{{subject}} murder', '{{subject}} mourn']}"
inendi,"s/he is away, absent, gone so long",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be gone so long']}"
makadewadowe,"s/he has black fur, has dark fur",vai,"{'verbs': ['have'], 'templates': ['{{subject}} have black fur', '{{subject}} have dark fur']}"
wiinimaagozi,s/he or it (animate) smells dirty,vai,"{'verbs': ['smell'], 'templates': ['{{subject}} smell dirty']}"
zazaagiwine,"h/ horns or antlers emerge, grow out",vai,"{'verbs': ['emerge', 'grow'], 'templates': ['{{subject}} horns or antlers emerge', '{{subject}} horns or antlers grow out']}"
ojibinigogaade,s/he gets cramps in h/ leg,vai,"{'verbs': ['get'], 'templates': [""{{subject}} get cramps in one's leg""]}"
asanjigon,s/he caches (it),vai + o,"{'verbs': ['cache'], 'templates': ['{{subject}} cache (it)']}"
bazangwaabishin,s/he lies with eyes closed,vai,"{'verbs': ['lie'], 'templates': ['{{subject}} lie with eyes closed']}"
biidweweyaagoneshkige,s/he is heard trudging here through the snow,vai,"{'verbs': ['be', 'hear'], 'templates': ['{{subject}} be heard trudging here through the snow', '(someone) hear {{object-intransitive}} trudging here through the snow']}"
basikwebizo,s/he wears a headband,vai,"{'verbs': ['wear'], 'templates': ['{{subject}} wear a headband']}"
agoojige,"s/he hangs things, hangs laundry",vai,"{'verbs': ['hang'], 'templates': ['{{subject}} hang things', '{{subject}} hang laundry']}"
inanaandam,s/he goes to a certain place hungry,vai2,"{'verbs': ['go'], 'templates': ['{{subject}} go to a certain place hungry']}"
babaamaagime,s/he snowshoes about,vai,"{'verbs': ['snowshoe'], 'templates': ['{{subject}} snowshoe about']}"
zegiziikaazo,"s/he pretends to be afraid, frightened, scared",vai,"{'verbs': ['pretend'], 'templates': ['{{subject}} pretend to be afraid, frightened, scared']}"
ginzhizhawizi,"s/he is a hard worker, is active, is energetic; s/he is skilled, is very competent, knows what s/he is doing",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be a hard worker', '{{subject}} be active', '{{subject}} be energetic', '{{subject}} be skilled', '{{subject}} be very competent', '{{subject}} know what {{subject}} is doing']}"
babaamiba'idiwag,"they run about together, run around together",vai,"{'verbs': ['run'], 'templates': ['{{subject}} run about together', '{{subject}} run around together']}"
zhagashkoode,s/he crawls flat to the ground,vai,"{'verbs': ['crawl'], 'templates': ['{{subject}} crawl flat to the ground']}"
nitaawashkime,s/he weaves snowshoe webbing skilfully,vai,"{'verbs': ['weave'], 'templates': ['{{subject}} weave snowshoe webbing skilfully']}"
goshkwaawaadendam,s/he thinks quietly,vai2,"{'verbs': ['think'], 'templates': ['{{subject}} think quietly']}"
nisidotaadiwag,"they understand, comprehend each other",vai,"{'verbs': ['understand', 'comprehend'], 'templates': ['{{subject}} understand each other', '{{subject}} comprehend each other']}"
biindigenise,s/he brings firewood inside,vai,"{'verbs': ['bring'], 'templates': ['{{subject}} bring firewood inside']}"
agaasinaagozi,"s/he, it (animate) looks small, seems small",vai,"{'verbs': ['look', 'seem'], 'templates': ['{{subject}} look small', '{{subject}} seem small']}"
apishimo,s/he lies on something,vai,"{'verbs': ['lie'], 'templates': ['{{subject}} lie on something']}"
mawiikaazo,s/he pretends to cry,vai,"{'verbs': ['pretend'], 'templates': ['{{subject}} pretend to cry']}"
giizhapakwe,s/he finishes putting on a roof,vai,"{'verbs': ['finish', 'put'], 'templates': ['{{subject}} finish putting on a roof', '{{subject}} put on a roof']}"
gashkaabika'igaazo,"s/he is locked (by someone), ""they"" lock h/",vai,"{'verbs': ['be', 'lock'], 'templates': ['{{subject}} be locked (by someone)', '(someone) lock {{object-intransitive}}']}"
bedoode,s/he crawls slowly,vai,"{'verbs': ['crawl'], 'templates': ['{{subject}} crawl slowly']}"
nanaa'endam,"s/he feels satisfied (with the outcome of some change or correction), feels content",vai2,"{'verbs': ['feel'], 'templates': ['{{subject}} feel satisfied (with the outcome of some change or correction)', '{{subject}} feel content']}"
inaapine,"s/he is afflicted, sick in a certain way",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be afflicted, sick in a certain way']}"
bakijishin,s/he lies across the top of something,vai,"{'verbs': ['lie'], 'templates': ['{{subject}} lie across the top of something']}"
gagiipizi,s/he is chapped,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be chapped']}"
madwebijige,s/he makes noise pulling or ripping something,vai,"{'verbs': ['make'], 'templates': ['{{subject}} make noise pulling or ripping something']}"
biinijaane,s/he has clean nose; h/ nose is clean,vai,"{'verbs': ['have', 'be'], 'templates': ['{{subject}} have clean nose', ""{{subject}}'s nose be clean""]}"
omigiiwinike,"s/he has a sore or sores, a scab or scabs on h/ arm or arms",vai,"{'verbs': ['have'], 'templates': [""{{subject}} have a sore or sores, a scab or scabs on one's arm or arms""]}"
gagwejibatoo,"s/he tries out running, practices running",vai,"{'verbs': ['try', 'practice'], 'templates': ['{{subject}} try out running', '{{subject}} practice running']}"
izhigaabawi,s/he has a certain stature; s/he stands a certain way,vai,"{'verbs': ['have', 'stand'], 'templates': ['{{subject}} have a certain stature', '{{subject}} stand a certain way']}"
giziibiiga'ige,"s/he washes things, washes clothes, does laundry",vai,"{'verbs': ['wash', 'do'], 'templates': ['{{subject}} wash things', '{{subject}} wash clothes', '{{subject}} do laundry']}"
abwe,"s/he roasts, cooks something over a fire",vai,"{'verbs': ['roast', 'cook'], 'templates': ['{{subject}} roast something over a fire', '{{subject}} cook something over a fire']}"
giikajingwaamo,s/he is cold in h/ sleep,vai,"{'verbs': ['be'], 'templates': [""{{subject}} be cold in one's sleep""]}"
minogaabawi,s/he is in good standing; s/he stands well,vai,"{'verbs': ['be', 'stand'], 'templates': ['{{subject}} be in good standing', '{{subject}} stand well']}"
wekwaashkaa,"s/he goes, comes to the end",vai,"{'verbs': ['go', 'come'], 'templates': ['{{subject}} go to the end', '{{subject}} come to the end']}"
naabishebizo,s/he wears an earring or earrings,vai,"{'verbs': ['wear'], 'templates': ['{{subject}} wear an earring or earrings']}"
wana'amaazo,s/he sings a song the wrong way,vai,"{'verbs': ['sing'], 'templates': ['{{subject}} sing a song the wrong way']}"
ombibizo,"s/he or it (animate) flies, speeds upwards",vai,"{'verbs': ['fly', 'speed'], 'templates': ['{{subject}} fly', '{{subject}} speed upwards']}"
giziisaga'ige,s/he mops the floor,vai,"{'verbs': ['mop'], 'templates': ['{{subject}} mop the floor']}"
minwaabadizi,"s/he is very useful, is of good use",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be very useful', '{{subject}} be of good use']}"
danagoodoo,s/he sets h/ snares in a certain place,vai,"{'verbs': ['set'], 'templates': [""{{subject}} set one's snares in a certain place""]}"
bishagiishkaanzo,s/he is dark colored,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be dark colored']}"
ishkwaajinikaazo,s/he has a last name,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a last name']}"
obaashkizigani,s/he has a gun or guns,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a gun or guns']}"
maniwiigwaase,s/he gathers birch bark,vai,"{'verbs': ['gather'], 'templates': ['{{subject}} gather birch bark']}"
miskonaagozi,"s/he looks red, appears red",vai,"{'verbs': ['look', 'appear'], 'templates': ['{{subject}} look red', '{{subject}} appear red']}"
makadewitigwaane,"s/he has black hair; s/he (a bird, an animal) has a black head",vai,"{'verbs': ['have'], 'templates': ['{{subject}} have black hair', '{{subject}} have a black head']}"
apiitani,"s/he weighs so much, is so heavy",vai,"{'verbs': ['weigh', 'be'], 'templates': ['{{subject}} weigh so much', '{{subject}} be so heavy']}"
michaabiigizi,"it (animate; string-like) is big, is thick",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be big', '{{subject}} be thick']}"
apiitaasige,the sun or moon shines so bright; the moon is in a certain phase; it is so far along in the month,vai,"{'verbs': ['shine', 'be'], 'templates': ['the sun or moon shine so bright', '{{subject}} be in a certain phase', '{{subject}} be so far along in the month']}"
bimiwijige,she is pregnant; s/he carries things along,vai,"{'verbs': ['be', 'carry'], 'templates': ['{{subject}} be pregnant', '{{subject}} carry things along']}"
ginagaapi,s/he giggles,vai,"{'verbs': ['giggle'], 'templates': ['{{subject}} giggle']}"
waabijiiyaabide,s/he has discolored or yellowed teeth,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have discolored or yellowed teeth']}"
zhezhawitaa,"s/he exercises, gets flexible",vai,"{'verbs': ['exercise', 'get'], 'templates': ['{{subject}} exercise', '{{subject}} get flexible']}"
dakaabikizi,"it (animate; mineral) is cool, is cold",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be cool', '{{subject}} be cold']}"
ashi-niiwaginzo,it is the fourteenth (of the month),vai,"{'verbs': ['be'], 'templates': ['{{subject}} be the fourteenth (of the month)']}"
noogise,s/he suddenly comes to a stop,vai,"{'verbs': ['come'], 'templates': ['{{subject}} come to a stop']}"
bimaawazhiwe,s/he hauls (people) along; transports people,vai,"{'verbs': ['haul', 'transport'], 'templates': ['{{subject}} haul (people) along', '{{subject}} transport people']}"
madaabiibatoo,s/he runs down to the shore,vai,"{'verbs': ['run'], 'templates': ['{{subject}} run down to the shore']}"
gibitanaamo,s/he stops breathing,vai,"{'verbs': ['stop'], 'templates': ['{{subject}} stop breathing']}"
zaabowesii,s/he isn't able to be heard well speaking,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be not able to be heard well speaking']}"
biisaanikwe,s/he has fine hair,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have fine hair']}"
dewaakigane,s/he has chest pain; h/ chest aches,vai,"{'verbs': ['have', 'ache'], 'templates': ['{{subject}} have chest pain', ""{{subject}}'s chest aches""]}"
gagwejidaabii'iwe,s/he practices driving,vai,"{'verbs': ['practice'], 'templates': ['{{subject}} practice driving']}"
baashkikaa,"s/he bursts, ruptures",vai,"{'verbs': ['burst', 'rupture'], 'templates': ['{{subject}} burst', '{{subject}} rupture']}"
ombweyaashi,s/he or it (animate) is blown up and around,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be blown up and around']}"
debinaagozi,"s/he is visible at a distance, comes into view",vai,"{'verbs': ['be', 'come'], 'templates': ['{{subject}} be visible at a distance', '{{subject}} come into view']}"
bishigozhaazo,s/he pees and misses,vai,"{'verbs': ['pee', 'miss'], 'templates': ['{{subject}} pee and miss']}"
agawaatese,s/he casts a shadow flying,vai,"{'verbs': ['cast'], 'templates': ['{{subject}} cast a shadow flying']}"
biiwaabikowi,"s/he is metal, of metal",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be metal', '{{subject}} be of metal']}"
biindaagibagizo,s/he does a hoop dance,vai,"{'verbs': ['do'], 'templates': ['{{subject}} do a hoop dance']}"
gaagiijidiye,s/he has a sore rear,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a sore rear']}"
bagone'igaazo,"it (animate) has a hole drilled in it, ""they"" drill a hole in it  (animate)",vai,"{'verbs': ['have', 'drill'], 'templates': ['{{subject}} have a hole drilled in it', '(someone) drill a hole in {{object-intransitive}}']}"
maazhichige,"s/he does something wrong, does something bad",vai,"{'verbs': ['do'], 'templates': ['{{subject}} do something wrong', '{{subject}} do something bad']}"
gaagiijidooskwan,s/he has a sore elbow,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a sore elbow']}"
bakegwaashkwani,"s/he jumps off to the side, off the main path",vai,"{'verbs': ['jump'], 'templates': ['{{subject}} jump off to the side, off the main path']}"
dabasendaagozi,s/he is held in low regard,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be held in low regard']}"
dadaataba'amaazo,s/he sings quickly,vai,"{'verbs': ['sing'], 'templates': ['{{subject}} sing quickly']}"
dewinike,s/he has an ache in h/ arm,vai,"{'verbs': ['have'], 'templates': [""{{subject}} have an ache in one's arm""]}"
aanizhiitam,"s/he quits, gives up, stops doing something",vai2,"{'verbs': ['quit', 'give', 'stop'], 'templates': ['{{subject}} quit doing something', '{{subject}} give up doing something', '{{subject}} stop doing something']}"
ozhiiginige,"s/he folds, prepares, sets something (sheet-like); s/he rolls a cigarette",vai,"{'verbs': ['fold', 'prepare', 'set', 'roll'], 'templates': ['{{subject}} fold something (sheet-like)', '{{subject}} prepare something (sheet-like)', '{{subject}} set something (sheet-like)', '{{subject}} roll a cigarette']}"
inaatenige,"s/he shines a light in a certain direction, casts a light in a certain firection",vai,"{'verbs': ['shine', 'cast'], 'templates': ['{{subject}} shine a light in a certain direction', '{{subject}} cast a light in a certain direction']}"
maamakaadiziikaazo,"s/he is a show-off, acts up",vai,"{'verbs': ['be', 'act'], 'templates': ['{{subject}} be a show-off', '{{subject}} act up']}"
zaageweyaajimo,s/he hints at something,vai,"{'verbs': ['hint'], 'templates': ['{{subject}} hint at something']}"
inigokobagizi,it (animate) has leaves of such a size,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have leaves of such a size']}"
akongwashi,"s/he falls asleep sitting with h/ head dropping down, nods off",vai,"{'verbs': ['fall', 'nod'], 'templates': [""{{subject}} fall asleep sitting with one's head dropping down"", '{{subject}} nod off']}"
mookwaabaagwe,s/he cries from thirst,vai,"{'verbs': ['cry'], 'templates': ['{{subject}} cry from thirst']}"
dakwegambizo,she wears a short skirt,vai,"{'verbs': ['wear'], 'templates': ['{{subject}} wear a short skirt']}"
ondamoonzhe,"s/he is occupied with, busy with children",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be occupied with children', '{{subject}} be busy with children']}"
miskwaasige,it (animate; sun or moon) shines red,vai,"{'verbs': ['shine'], 'templates': ['{{subject}} shine red']}"
zhaaboganaanjige,s/he punches through something,vai,"{'verbs': ['punch'], 'templates': ['{{subject}} punch through something']}"
okwaakosijige,s/he stacks something (stick-like),vai,"{'verbs': ['stack'], 'templates': ['{{subject}} stack something (stick-like)']}"
anaamendam,"s/he is suspicious, suspects, has suspicion",vai2,"{'verbs': ['be', 'suspect', 'have'], 'templates': ['{{subject}} be suspicious', '{{subject}} suspect', '{{subject}} have suspicion']}"
nanaabagizide,s/he has flat feet,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have flat feet']}"
doodaadizo,s/he does something to h/ self,vai,"{'verbs': ['do'], 'templates': ['{{subject}} do something to oneself']}"
baapaashkwewebizonike,s/he drives and h/ car backfires,vai,"{'verbs': ['drive', 'backfire'], 'templates': ['{{subject}} drive and {{object-intransitive}} backfire']}"
bichibizo,s/he is accidentally run over,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be accidentally run over']}"
gikinjigwenidiwag,"they hug, embrace",vai,"{'verbs': ['hug', 'embrace'], 'templates': ['{{subject}} hug', '{{subject}} embrace']}"
onjidaabii,"s/he drags, pulls a load from a certain place, pulls a sled from a certain place",vai,"{'verbs': ['drag', 'pull'], 'templates': ['{{subject}} drag a load from a certain place', '{{subject}} pull a load from a certain place', '{{subject}} pull a sled from a certain place']}"
giizhadowe,s/he has prime fur (at end of the season),vai,"{'verbs': ['have'], 'templates': ['{{subject}} have prime fur (at end of the season)']}"
madaabiishkosiwe,s/he goes out into a meadow,vai,"{'verbs': ['go'], 'templates': ['{{subject}} go out into a meadow']}"
ishpaandawebizo,"s/he climbs up under power, goes up in an elevator",vai,"{'verbs': ['climb', 'go'], 'templates': ['{{subject}} climb up under power', '{{subject}} go up in an elevator']}"
onzaamaapi,s/he laughs hard,vai,"{'verbs': ['laugh'], 'templates': ['{{subject}} laugh hard']}"
akwaabi,s/he sees a certain distance,vai,"{'verbs': ['see'], 'templates': ['{{subject}} see a certain distance']}"
gikinoo'amaadiwag,they teach each other,vai,"{'verbs': ['teach'], 'templates': ['{{subject}} teach each other']}"
zhaabonaagozi,"s/he or it (animate) is transparent, can be seen through",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be transparent', '{{subject}} can be seen through']}"
niimi'iwe,s/he gives a dance,vai,"{'verbs': ['give'], 'templates': ['{{subject}} give a dance']}"
mashkawaakozi,"s/he is dense (o.s.); s/he is hard (o.s.); s/he (stick-like) is strong, is hard, is dense",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be dense (o.s.)', '{{subject}} be hard (o.s.)', '{{subject}} be strong', '{{subject}} be hard', '{{subject}} be dense']}"
anima'adoo,s/he follows a trail away,vai,"{'verbs': ['follow'], 'templates': ['{{subject}} follow a trail away']}"
ozhaashisagishin,s/he slips and falls on the floor,vai,"{'verbs': ['slip', 'fall'], 'templates': ['{{subject}} slip and fall on the floor']}"
makadewitawage,s/he has a black ear or black ears,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a black ear or black ears']}"
gibaabinidizo,s/he covers h/ own eyes (with the hand),vai,"{'verbs': ['cover'], 'templates': [""{{subject}} cover one's own eyes (with the hand)""]}"
anzikwe'o,s/he combs h/ hair,vai,"{'verbs': ['comb'], 'templates': [""{{subject}} comb one's hair""]}"
mijidwe,"s/he orders, sends for something through a third party",vai,"{'verbs': ['order', 'send'], 'templates': ['{{subject}} order something through a third party', '{{subject}} send for something through a third party']}"
bibagizi,it (animate) is thin,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be thin']}"
wayezhindizo,"s/he deceives, cheats h/ self (by speech)",vai,"{'verbs': ['deceive', 'cheat'], 'templates': ['{{subject}} deceive oneself (by speech)', '{{subject}} cheat oneself (by speech)']}"
mangininjii,s/he has a big hand or big hands,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a big hand or big hands']}"
gizhiise,s/he flies fast,vai,"{'verbs': ['fly'], 'templates': ['{{subject}} fly fast']}"
minomanji'o,"s/he feels good,  is in good health",vai,"{'verbs': ['feel', 'be'], 'templates': ['{{subject}} feel good', '{{subject}} be in good health']}"
waabiiganaandam,s/he is pale from being hungry,vai2,"{'verbs': ['be'], 'templates': ['{{subject}} be pale from being hungry']}"
gashkigwaazo,s/he is sewn,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be sewn']}"
gibitaneshin,s/he falls and gets  a nosebleed,vai,"{'verbs': ['fall', 'get'], 'templates': ['{{subject}} fall and get a nosebleed']}"
obaabaayi,s/he has a father,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a father']}"
onji'aawaso,s/he tells a child or children not to do something,vai,"{'verbs': ['tell'], 'templates': ['{{subject}} tell a child or children not to do something']}"
maanose,s/he walks with discomfort,vai,"{'verbs': ['walk'], 'templates': ['{{subject}} walk with discomfort']}"
zhaagomaagozi,it (animate) smells mild,vai,"{'verbs': ['smell'], 'templates': ['{{subject}} smell mild']}"
zaageweyoode,s/he crawls into view as from around a corner,vai,"{'verbs': ['crawl'], 'templates': ['{{subject}} crawl into view as from around a corner']}"
maadizekwe,s/he starts cooking,vai,"{'verbs': ['start'], 'templates': ['{{subject}} start cooking']}"
mashkawimaaso,"s/he has a strong aroma, smells strong burning or cooking",vai,"{'verbs': ['have', 'smell'], 'templates': ['{{subject}} have a strong aroma', '{{subject}} smell strong burning or cooking']}"
animaagime,s/he snowshoes away (in the other direction),vai,"{'verbs': ['snowshoe'], 'templates': ['{{subject}} snowshoe away (in the other direction)']}"
wanimo,"s/he makes a mistake in speaking, mispronounces something",vai,"{'verbs': ['make', 'mispronounce'], 'templates': ['{{subject}} make a mistake in speaking', '{{subject}} mispronounce something']}"
nisidiwag,they kill each other,vai,"{'verbs': ['kill'], 'templates': ['{{subject}} kill each other']}"
maazhigiizhwe,s/he has abnormal speech; s/he has difficulty speaking,vai,"{'verbs': ['have', 'have'], 'templates': ['{{subject}} have abnormal speech', '{{subject}} have difficulty speaking']}"
inadowe,s/he has such fur,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have such fur']}"
baabiiwaashi,s/he is scattered here and there by wind,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be scattered here and there by wind']}"
gwekiwebiniganike,s/he makes pancakes,vai,"{'verbs': ['make'], 'templates': ['{{subject}} make pancakes']}"
mizizi,s/he catches a disease; s/he starts to get sick,vai,"{'verbs': ['catch', 'get'], 'templates': ['{{subject}} catch a disease', '{{subject}} get sick']}"
bakobiikawe,s/he leaves tracks going into water,vai,"{'verbs': ['leave'], 'templates': ['{{subject}} leave tracks going into water']}"
maajinizhimo,"s/he starts off fleeing, starts off running away",vai,"{'verbs': ['start'], 'templates': ['{{subject}} start off fleeing', '{{subject}} start off running away']}"
giiwashkwebani'o,s/he makes h/ self dizzy spinning around,vai,"{'verbs': ['make'], 'templates': ['{{subject}} make oneself dizzy spinning around']}"
niimimiijime,s/he takes along food,vai,"{'verbs': ['take'], 'templates': ['{{subject}} take along food']}"
gizhiibinagaakizide,h/ sole itches,vai,"{'verbs': ['itch'], 'templates': ['{{subject}} itch']}"
niiskizi,"s/he is messy, is burdened with too much stuff",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be messy', '{{subject}} be burdened with too much stuff']}"
agaasiigizi,it (animate; sheet-like) is small,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be small']}"
