lemma,definition,type,llm_templates
zagakinige,s/he puts things away; s/he tidies things,vai,"{'verbs': ['put', 'tidy'], 'templates': ['{{subject}} put things away', '{{subject}} tidy things']}"
ombaakwa'ige,"s/he raises things (as or as with something stick- or wood-like), jacks things up",vai,"{'verbs': ['raise', 'jack'], 'templates': ['{{subject}} raise things (as or as with something stick- or wood-like)', '{{subject}} jack things up']}"
bitaakondibeshin,s/he bumps h/ head,vai,"{'verbs': ['bump'], 'templates': [""{{subject}} bump one's head""]}"
zegingwashi,s/he has a nightmare,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a nightmare']}"
aabidwewidam,"s/he sounds, calls, vocalizes continually",vai2,"{'verbs': ['sound', 'call', 'vocalize'], 'templates': ['{{subject}} sound continually', '{{subject}} call continually', '{{subject}} vocalize continually']}"
bishagaakwa'ige,s/he peels timber (using something),vai,"{'verbs': ['peel'], 'templates': ['{{subject}} peel timber (using something)']}"
miskosagizi,"s/he (something board-like, floor) is red",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be red']}"
gibishin,"s/he lies in the way, blocks the way",vai,"{'verbs': ['lie', 'block'], 'templates': ['{{subject}} lie in the way', '{{subject}} block the way']}"
izhaa,s/he goes to a certain place,vai,"{'verbs': ['go'], 'templates': ['{{subject}} go to a certain place']}"
bazagoshin,it (animate) turns sticky,vai,"{'verbs': ['turn'], 'templates': ['{{subject}} turn sticky']}"
omoonzomi,s/he has a moose or moose,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a moose or moose']}"
bishagishkaa,"s/he peels, peels off",vai,"{'verbs': ['peel'], 'templates': ['{{subject}} peel', '{{subject}} peel off']}"
gitigaazo,h/ is planted,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be planted']}"
inaajimo,s/he tells a certain way,vai,"{'verbs': ['tell'], 'templates': ['{{subject}} tell a certain way']}"
bookwaboye,s/he breaks a paddle,vai,"{'verbs': ['break'], 'templates': ['{{subject}} break a paddle']}"
minjikaawanike,s/he makes a mitten or mittens,vai,"{'verbs': ['make'], 'templates': ['{{subject}} make a mitten or mittens']}"
ondaajimo,"s/he bring news from a certain place, tells of a certain place where s/he has been",vai,"{'verbs': ['bring', 'tell'], 'templates': ['{{subject}} bring news from a certain place', '{{subject}} tell of a certain place where {{subject}} has been']}"
babaama'oojige,"s/he transports something about (especially on the water), leads or tows something about on the water",vai,"{'verbs': ['transport', 'lead', 'tow'], 'templates': ['{{subject}} transport something about (especially on the water)', '{{subject}} lead something about on the water', '{{subject}} tow something about on the water']}"
zaagijiwijige,"s/he carries, takes things outside",vai,"{'verbs': ['carry', 'take'], 'templates': ['{{subject}} carry things outside', '{{subject}} take things outside']}"
ozhaawashkwadiso,it (animate) is dyed green; it (animate) is dyed blue,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be dyed green', '{{subject}} be dyed blue']}"
agaji'iwe,s/he embarrasses (people),vai,"{'verbs': ['embarrass'], 'templates': ['{{subject}} embarrass (people)']}"
gizhiiwewenjige,s/he makes a loud noise chewing or eating,vai,"{'verbs': ['make'], 'templates': ['{{subject}} make a loud noise chewing or eating']}"
baswewe,"s/he echoes, resounds",vai,"{'verbs': ['echo', 'resound'], 'templates': ['{{subject}} echo', '{{subject}} resound']}"
bishigwapijigaazo,"s/he is missed in being tied (by someone), ""they"" miss tying h/",vai,"{'verbs': ['be', 'miss'], 'templates': ['{{subject}} be missed in being tied (by someone)', '(someone) miss tying {{object-intransitive}}']}"
bimanaandam,s/he goes along hungry,vai2,"{'verbs': ['go'], 'templates': ['{{subject}} go along hungry']}"
inweweyaashi,"s/he is heard flying, soaring, or sailing to a certain place or in a certain way",vai,"{'verbs': ['be', 'hear', 'fly', 'soar', 'sail'], 'templates': ['{{subject}} be heard flying to a certain place or in a certain way', '{{subject}} be heard soaring to a certain place or in a certain way', '{{subject}} be heard sailing to a certain place or in a certain way', '(someone) hear {{object-intransitive}} flying to a certain place or in a certain way', '(someone) hear {{object-intransitive}} soaring to a certain place or in a certain way', '(someone) hear {{object-intransitive}} sailing to a certain place or in a certain way']}"
bimoomigo,s/he rides along on horseback,vai,"{'verbs': ['ride'], 'templates': ['{{subject}} ride along on horseback']}"
niibawingwaami,s/he sleeps standing up,vai,"{'verbs': ['sleep'], 'templates': ['{{subject}} sleep standing up']}"
oginiiwaanzo,"s/he or it (animate) is rose-colored, is pink",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be rose-colored', '{{subject}} be pink']}"
nishwaasooshinoog,eight of them (animate) lie together,vai,"{'verbs': ['lie'], 'templates': ['{{subject}} lie together']}"
maanashkinataaso,s/he packs things poorly,vai,"{'verbs': ['pack'], 'templates': ['{{subject}} pack things poorly']}"
gopidaabii'iwe,"s/he drives inland, into the woods, into the bush; s/he drives a team inland, into the woods, into the bush",vai,"{'verbs': ['drive'], 'templates': ['{{subject}} drive inland, into the woods, into the bush', '{{subject}} drive a team inland, into the woods, into the bush']}"
oziigigwayawe,s/he has a wrinkled neck,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a wrinkled neck']}"
nagadanokii,s/he is used to working,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be used to working']}"
nisaabaawe,s/he gets wet; s/he drowns,vai,"{'verbs': ['get', 'drown'], 'templates': ['{{subject}} get wet', '{{subject}} drown']}"
gizhiibizi,s/he itches,vai,"{'verbs': ['itch'], 'templates': ['{{subject}} itch']}"
giizhoongwaamo,s/he is warm while sleeping,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be warm while sleeping']}"
wiiweginigaazo,"s/he or it (animate) is wrapped (by someone), ""they"" wrap h/ or it (animate)",vai,"{'verbs': ['be', 'wrap'], 'templates': ['{{subject}} be wrapped (by someone)', '(someone) wrap {{object-intransitive}}']}"
inigokwaabide,s/he has teeth of such a size,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have teeth of such a size']}"
mashkawipogozi,s/he tastes strong,vai,"{'verbs': ['taste'], 'templates': ['{{subject}} taste strong']}"
niisibizo,"s/he speeds, flies, falls lower",vai,"{'verbs': ['speed', 'fly', 'fall'], 'templates': ['{{subject}} speed', '{{subject}} fly', '{{subject}} fall lower']}"
gawanaandam,s/he starves,vai2,"{'verbs': ['starve'], 'templates': ['{{subject}} starve']}"
miskominagizi,"it (animate; something small and round, grain, berry) is red",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be red']}"
gagiinawishki,s/he is a habitual liar,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be a habitual liar']}"
zhakizi,s/he or it (animate) is damp,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be damp']}"
zhiibii,s/he stretches (h/ body),vai,"{'verbs': ['stretch'], 'templates': [""{{subject}} stretch one's body""]}"
ojibwemotaadiwag,they speak Ojibwe to each other,vai,"{'verbs': ['speak'], 'templates': ['{{subject}} speak ojibwe to each other']}"
aniibiishaabooke,s/he makes tea,vai,"{'verbs': ['make'], 'templates': ['{{subject}} make tea']}"
moozhagipinii,s/he picks potatoes,vai,"{'verbs': ['pick'], 'templates': ['{{subject}} pick potatoes']}"
niingidawaakozi,it (animate) grows in a clump with common root,vai,"{'verbs': ['grow'], 'templates': ['{{subject}} grow in a clump with common root']}"
aandanokii,"s/he changes jobs, gets a new job",vai,"{'verbs': ['change', 'get'], 'templates': ['{{subject}} change jobs', '{{subject}} get a new job']}"
dazhibatoo,s/he runs in a certain place,vai,"{'verbs': ['run'], 'templates': ['{{subject}} run in a certain place']}"
babaamaapi,s/he goes around laughing,vai,"{'verbs': ['go'], 'templates': ['{{subject}} go around laughing']}"
baapaazagojiizi,s/he has scratches on h/ belly,vai,"{'verbs': ['have'], 'templates': [""{{subject}} have scratches on one's belly""]}"
naano-giiziswagizi,s/he is five months old,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be five months old']}"
biigwanjige,s/he chews things up,vai,"{'verbs': ['chew'], 'templates': ['{{subject}} chew things up']}"
dagwii,"s/he is among others, joins in, is a member, belongs to a group",vai,"{'verbs': ['be', 'join', 'be'], 'templates': ['{{subject}} be among others', '{{subject}} join in', '{{subject}} be a member', '{{subject}} belong to a group']}"
baazhijigwaashkwani,s/he jumps over,vai,"{'verbs': ['jump'], 'templates': ['{{subject}} jump over']}"
gawiboozo,s/he is sawn down,vai,"{'verbs': ['be', 'saw'], 'templates': ['{{subject}} be sawn down', '(someone) saw {{object-intransitive}} down']}"
jiigeweyaashi,"s/he is blown along the  shore or edge (by the wind), sails, soars along the shore or edge",vai,"{'verbs': ['be', 'blow', 'sail', 'soar'], 'templates': ['{{subject}} be blown along the shore or edge (by the wind)', '{{subject}} sail along the shore or edge', '{{subject}} soar along the shore or edge']}"
aakwashkade,s/he has a stomachache,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a stomachache']}"
gipagaji,it (animate) is frozen thick,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be frozen thick']}"
dewimisade,s/he has a stomachache,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a stomachache']}"
biskitenaaganike,s/he makes a biskitenaagan (a birch bark sap bucket); [BL] s/he makes a birch bark basket,vai,"{'verbs': ['make'], 'templates': ['{{subject}} make a biskitenaagan (a birch bark sap bucket)', '{{subject}} make a birch bark basket']}"
dadaatabibii'ige,s/he writes quickly,vai,"{'verbs': ['write'], 'templates': ['{{subject}} write quickly']}"
gokeyawike,"s/he makes bait, baits something",vai,"{'verbs': ['make', 'bait'], 'templates': ['{{subject}} make bait', '{{subject}} bait something']}"
aapidingwaami,"s/he sleeps and doesn't wake up, dies in h/ sleep",vai,"{'verbs': ['sleep', 'die'], 'templates': [""{{subject}} sleep and doesn't wake up"", ""{{subject}} die in one's sleep""]}"
agaasadezide,s/he has narrow feet,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have narrow feet']}"
ikwa'ibii,"s/he pumps, draws water",vai,"{'verbs': ['pump', 'draw'], 'templates': ['{{subject}} pump water', '{{subject}} draw water']}"
jiichiigibinidizo,s/he scratches h/ self,vai,"{'verbs': ['scratch'], 'templates': ['{{subject}} scratch oneself']}"
gibichiitaa,s/he takes a break,vai,"{'verbs': ['take'], 'templates': ['{{subject}} take a break']}"
zhooshkwanagekozi,it (animate) has smooth bark,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have smooth bark']}"
onzigaazo,"s/he is boiled (by someone), ""they"" boil h/",vai,"{'verbs': ['be', 'boil'], 'templates': ['{{subject}} be boiled (by someone)', '(someone) boil {{object-intransitive}}']}"
babiizigitaagozi,s/he sounds hoarse; h/ voice is not clear,vai,"{'verbs': ['sound', 'be'], 'templates': ['{{subject}} sound hoarse', ""{{subject}}'s voice be not clear""]}"
mazinikojige,"s/he carves, sculpts something",vai,"{'verbs': ['carve', 'sculpt'], 'templates': ['{{subject}} carve something', '{{subject}} sculpt something']}"
gaanjwebishkigaazo,s/he is shoved (with foot or body) (by someone),vai,"{'verbs': ['be', 'shove'], 'templates': ['{{subject}} be shoved (with foot or body) (by someone)', '(someone) shove {{object-intransitive}} (with foot or body)']}"
ningodwaaswaginzo,it is the sixth (of the month),vai,"{'verbs': ['be'], 'templates': ['{{subject}} be the sixth (of the month)']}"
zhooshkwiingwe,s/he has a smooth face,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a smooth face']}"
baazhida'igaazo,"s/he oor it (animate) is stepped over, ""they"" step over h/ or it (animate)",vai,"{'verbs': ['be', 'step'], 'templates': ['{{subject}} be stepped over (by someone)', '(someone) step over {{object-intransitive}}']}"
bagwa'igaazo,"it (animate) is patched (by someone), ""they"" patch it (animate); s/he wears patches",vai,"{'verbs': ['be', 'patch', 'wear'], 'templates': ['{{subject}} be patched (by someone)', '(someone) patch {{object-intransitive}}', '{{subject}} wear patches']}"
biidaasamabi,s/he sits facing this way,vai,"{'verbs': ['sit'], 'templates': ['{{subject}} sit facing this way']}"
waabishkaanowe,s/he (an animal) has a white tail (at the tip),vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a white tail (at the tip)']}"
odoogimaami,"s/he has a boss or bosses, a chief or chiefs",vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a boss or bosses, a chief or chiefs']}"
dibaajimo,"s/he tells, tells a story",vai,"{'verbs': ['tell'], 'templates': ['{{subject}} tell', '{{subject}} tell a story']}"
ojibinigoninjii,s/he gets cramps in h/ hand,vai,"{'verbs': ['get'], 'templates': [""{{subject}} get cramps in one's hand""]}"
zhizhoobii'igaazo,"s/he or it (animate) is painted (by someone), ""they"" paint h/ or it (animate)",vai,"{'verbs': ['be', 'paint'], 'templates': ['{{subject}} be painted (by someone)', '(someone) paint {{object-intransitive}}']}"
bagamanaandam,s/he arrives hungry,vai2,"{'verbs': ['arrive'], 'templates': ['{{subject}} arrive hungry']}"
apigwaazo,it (animate) is sewn onto something,vai,"{'verbs': ['be', 'sew'], 'templates': ['{{subject}} be sewn onto something', '(someone) sew {{object-intransitive}} onto something']}"
azhenige,"s/he returns things, takes things back, hands things back",vai,"{'verbs': ['return', 'take', 'hand'], 'templates': ['{{subject}} return things', '{{subject}} take things back', '{{subject}} hand things back']}"
magozigoshin,it (animate; a sled or sled runner) is iced up; s/he or it (animate) is coated with ice,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be iced up', '{{subject}} be coated with ice']}"
ojiishinike,s/he has a scar on h/ arm,vai,"{'verbs': ['have'], 'templates': [""{{subject}} have a scar on one's arm""]}"
ziigaagamishkaa,s/he gets in and makes the water spill over,vai,"{'verbs': ['get', 'make'], 'templates': ['{{subject}} get in and make the water spill over']}"
bagamaanagidoon,s/he arrives talking,vai,"{'verbs': ['arrive'], 'templates': ['{{subject}} arrive talking']}"
giizhashkime,s/he finishes weaving snowshoe webbing,vai,"{'verbs': ['finish'], 'templates': ['{{subject}} finish weaving snowshoe webbing']}"
aanjigwane,s/he [bird] moults,vai,"{'verbs': ['moult'], 'templates': ['{{subject}} moult']}"
gaagiidaawigan,s/he has a sore back,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a sore back']}"
inwewidam,s/he is heard speaking going to a certain place,vai,"{'verbs': ['be', 'hear'], 'templates': ['{{subject}} be heard speaking going to a certain place', '(someone) hear {{object-intransitive}} speaking going to a certain place']}"
naanaagazotam,"s/he listens hard, pays attention to what is heard",vai2,"{'verbs': ['listen', 'pay'], 'templates': ['{{subject}} listen hard', '{{subject}} pay attention to what is heard']}"
noogibagizo,s/he stops suddenly while dancing,vai,"{'verbs': ['stop'], 'templates': ['{{subject}} stop suddenly while dancing']}"
agwaa'amaazo,s/he dishes (it) up for h/ self,vai,"{'verbs': ['dish'], 'templates': ['{{subject}} dish (it) up for oneself']}"
nabanezide,s/he has only one foot,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have only one foot']}"
waabizhagindibe,s/he is bald,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be bald']}"
dazhindiwag,"they talk about, gossip about each other",vai,"{'verbs': ['talk', 'gossip'], 'templates': ['{{subject}} talk about each other', '{{subject}} gossip about each other']}"
inataadiwag,they play such a game or such games with each other,vai,"{'verbs': ['play'], 'templates': ['{{subject}} play such a game or such games with each other']}"
bimiwizhiwe,s/he drives people along (as in a bus or taxi); s/he takes people along,vai,"{'verbs': ['drive', 'take'], 'templates': ['{{subject}} drive people along (as in a bus or taxi)', '{{subject}} take people along']}"
nandawaatoo,s/he scouts,vai,"{'verbs': ['scout'], 'templates': ['{{subject}} scout']}"
ozowaa,s/he has a tail (especially of mammals),vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a tail (especially of mammals)']}"
gibaakwa'igaazo,"s/he is jailed, imprisoned (by someone), ""they"" jail, imprison h/",vai,"{'verbs': ['be', 'jail', 'imprison'], 'templates': ['{{subject}} be jailed, imprisoned (by someone)', '(someone) jail {{object-intransitive}}', '(someone) imprison {{object-intransitive}}']}"
zhegozidese,s/he gets h/ toe stuck in a tight place,vai,"{'verbs': ['get'], 'templates': [""{{subject}} get one's toe stuck in a tight place""]}"
dewijiizi,s/he has a stomachache,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a stomachache']}"
biitewidoone,s/he has foam at the mouth,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have foam at the mouth']}"
dakoozi,s/he is short,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be short']}"
niminaawe'o,s/he paddles out from shore,vai,"{'verbs': ['paddle'], 'templates': ['{{subject}} paddle out from shore']}"
giikajininjiiwaji,s/he has cool or cold hands,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have cool or cold hands']}"
nabagidaamikane,s/he has a flat chin,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a flat chin']}"
baasige,s/he dries something,vai,"{'verbs': ['dry'], 'templates': ['{{subject}} dry something']}"
biibaagindiwag,they hollar at each other,vai,"{'verbs': ['hollar'], 'templates': ['{{subject}} hollar at each other']}"
aasamaateshin,s/he lies in the sun,vai,"{'verbs': ['lie'], 'templates': ['{{subject}} lie in the sun']}"
apiitizi,"s/he is a certain age, is so old or young",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be a certain age', '{{subject}} be so old or young']}"
maajiiwanen,start off carrying it (a pack),vai + o,"{'verbs': ['start', 'carry'], 'templates': ['{{subject}} start off carrying it (a pack)', '{{subject}} carry it (a pack)']}"
dazhiikodaadiwag,"they are involved with, are engaged with, deal with each other",vai,"{'verbs': ['be', 'involve', 'engage', 'deal'], 'templates': ['{{subject}} be involved with', '{{subject}} be engaged with', '{{subject}} deal with each other', '{{subject}} involve with each other', '{{subject}} engage with each other']}"
onjibizo,"s/he drives, speeds, falls from a certain place",vai,"{'verbs': ['drive', 'speed', 'fall'], 'templates': ['{{subject}} drive', '{{subject}} speed', '{{subject}} fall from a certain place']}"
bagandizi,"s/he is lazy, is shiftless, is incompetent",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be lazy', '{{subject}} be shiftless', '{{subject}} be incompetent']}"
aabiinzonge,"s/he denigrates, verbally abuses someone",vai,"{'verbs': ['denigrate', 'abuse'], 'templates': ['{{subject}} denigrate someone', '{{subject}} verbally abuse someone']}"
mayagimaagozi,s/he smells strange,vai,"{'verbs': ['smell'], 'templates': ['{{subject}} smell strange']}"
biidwewekamigishin,s/he is heard coming stepping on the ground,vai,"{'verbs': ['be', 'hear'], 'templates': ['{{subject}} be heard coming stepping on the ground', '(someone) hear {{object-intransitive}} coming stepping on the ground']}"
mooshkinebii'ige,s/he fills out a form,vai,"{'verbs': ['fill'], 'templates': ['{{subject}} fill out a form']}"
omoozhwaagani,s/he has scissors,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have scissors']}"
babiizigiigizi,"it (animate; sheet-like) is curled, is crinkled, is crumpled",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be curled', '{{subject}} be crinkled', '{{subject}} be crumpled']}"
wana'amii,"s/he missteps, is out of step",vai,"{'verbs': ['misstep', 'be'], 'templates': ['{{subject}} misstep', '{{subject}} be out of step']}"
biinjizidese,"h/ foot slips in, slides in",vai,"{'verbs': ['slip', 'slide'], 'templates': [""{{subject}}'s foot slip in"", ""{{subject}}'s foot slide in""]}"
mangaadigonam,s/he makes a big ripple,vai2,"{'verbs': ['make'], 'templates': ['{{subject}} make a big ripple']}"
ginaa'ogo,s/he is stranded in a boat,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be stranded in a boat']}"
bezhigookam,s/he is alone in a canoe,vai2,"{'verbs': ['be'], 'templates': ['{{subject}} be alone in a canoe']}"
zaabendanzii,"s/he isn't interested, doesn't like something",vai2,"{'verbs': ['be', 'like'], 'templates': ['{{subject}} be not interested', '{{subject}} not like something']}"
wiijishimotaadiwag,they dance (with each other),vai,"{'verbs': ['dance'], 'templates': ['{{subject}} dance (with each other)']}"
maajinizha'ige,s/he sends things off,vai,"{'verbs': ['send'], 'templates': ['{{subject}} send things off']}"
bejidaabii'iwe,s/he drives slow,vai,"{'verbs': ['drive'], 'templates': ['{{subject}} drive slow']}"
bawa'ige,s/he knocks things (with something),vai,"{'verbs': ['knock'], 'templates': ['{{subject}} knock things (with something)']}"
waabanidaabii'iwe,s/he drives until daylight,vai,"{'verbs': ['drive'], 'templates': ['{{subject}} drive until daylight']}"
ondweweyaadagaazii,s/he is heard wading from a certain place,vai,"{'verbs': ['be', 'hear'], 'templates': ['{{subject}} be heard wading from a certain place', '(someone) hear {{object-intransitive}} wading from a certain place']}"
ondaadage,s/he swims from a certain place,vai,"{'verbs': ['swim'], 'templates': ['{{subject}} swim from a certain place']}"
ashkini,"it (animate) is raw, is uncooked",vai,"{'verbs': ['be'], 'templates': ['{{subject}} be raw', '{{subject}} be uncooked']}"
zaagi'iwe,"s/he loves someone, loves people",vai,"{'verbs': ['love'], 'templates': ['{{subject}} love someone', '{{subject}} love people']}"
naadinise,s/he goes to get firewood,vai,"{'verbs': ['go'], 'templates': ['{{subject}} go to get firewood']}"
mikwenindiwag,"they recall, recollect, remember, come to think of each other",vai,"{'verbs': ['recall', 'recollect', 'remember', 'come'], 'templates': ['{{subject}} recall each other', '{{subject}} recollect each other', '{{subject}} remember each other', '{{subject}} come to think of each other']}"
gaagiijijaane,s/he has a sore nose,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a sore nose']}"
moowiwi,s/he has shit on h/,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have shit on oneself']}"
babegikaadaanagidoone,s/he talks slow,vai,"{'verbs': ['talk'], 'templates': ['{{subject}} talk slow']}"
bita'odizo,s/he accidentally hits h/ self (using something),vai,"{'verbs': ['hit'], 'templates': ['{{subject}} hit oneself (using something)']}"
zaagijiwane,s/he carries a pack out,vai,"{'verbs': ['carry'], 'templates': ['{{subject}} carry a pack out']}"
minjimishkoozo,"s/he is pinned down, held in place (with weight)",vai,"{'verbs': ['be', 'pin', 'hold'], 'templates': ['{{subject}} be pinned down, held in place (with weight)', '(someone) pin {{object-intransitive}} down', '(someone) hold {{object-intransitive}} in place (with weight)']}"
wawiyadendaagozi,"s/he is thought cute, thought funny (comical)",vai,"{'verbs': ['be', 'think'], 'templates': ['{{subject}} be thought cute', '{{subject}} be thought funny (comical)', '(someone) think {{object-intransitive}} cute', '(someone) think {{object-intransitive}} funny (comical)']}"
biinjwebinigetamaage,s/he votes for someone,vai,"{'verbs': ['vote'], 'templates': ['{{subject}} vote for someone']}"
okwapizo,it (animate) is tied in a bunch,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be tied in a bunch']}"
ondaagone,s/he comes from a certain place through the snow,vai,"{'verbs': ['come'], 'templates': ['{{subject}} come from a certain place through the snow']}"
oniijaanisi,"s/he has a child or children, has a young one or young",vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a child or children', '{{subject}} have a young one or young']}"
mookone,s/he cries or moans from pain or sadness,vai,"{'verbs': ['cry', 'moan'], 'templates': ['{{subject}} cry from pain or sadness', '{{subject}} moan from pain or sadness']}"
ondisinii,s/he gets h/ food from a certain place,vai,"{'verbs': ['get'], 'templates': [""{{subject}} get one's food from a certain place""]}"
meshkodakizine,s/he changes h/ shoes,vai,"{'verbs': ['change'], 'templates': [""{{subject}} change one's shoes""]}"
mitaakwayawe,"s/he has a bare torso, is naked from the waist up, is topless",vai,"{'verbs': ['have', 'be'], 'templates': ['{{subject}} have a bare torso', '{{subject}} be naked from the waist up', '{{subject}} be topless']}"
niisaakiiwebizo,"s/he speeds, drives, flies, falls downhill",vai,"{'verbs': ['speed', 'drive', 'fly', 'fall'], 'templates': ['{{subject}} speed', '{{subject}} drive', '{{subject}} fly', '{{subject}} fall downhill']}"
aandikwewe,s/he has a new girlfriend or female partner,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a new girlfriend or female partner']}"
mishiiwaatigowi,"s/he (a tree) is dry, has dry wood",vai,"{'verbs': ['be', 'have'], 'templates': ['{{subject}} be dry', '{{subject}} have dry wood']}"
biisadaawangizi,it (animate; sand-like) is fine,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be fine']}"
giiwitaabizo,"s/he speeds, drives, flies around in circle",vai,"{'verbs': ['speed', 'drive', 'fly'], 'templates': ['{{subject}} speed around in circle', '{{subject}} drive around in circle', '{{subject}} fly around in circle']}"
wiindigoowi,s/he is a windigo,vai,"{'verbs': ['be'], 'templates': ['{{subject}} be a windigo']}"
bakobiizideni,s/he puts h/ foot in the water,vai,"{'verbs': ['put'], 'templates': [""{{subject}} put one's foot in the water""]}"
manidoowaadizi,s/he has a spiritual nature,vai,"{'verbs': ['have'], 'templates': ['{{subject}} have a spiritual nature']}"
gwayakogwaaso,s/he sews correctly,vai,"{'verbs': ['sew'], 'templates': ['{{subject}} sew correctly']}"
inaadagaakobatoo,s/he runs to a certain place on the ice,vai,"{'verbs': ['run'], 'templates': ['{{subject}} run to a certain place on the ice']}"
gozi,s/he moves (h/ residence),vai,"{'verbs': ['move'], 'templates': [""{{subject}} move (one's residence)""]}"
na'itam,s/he hears well,vai2,"{'verbs': ['hear'], 'templates': ['{{subject}} hear well']}"
dazhigaabawi,s/he stands in a certain place,vai,"{'verbs': ['stand'], 'templates': ['{{subject}} stand in a certain place']}"
daashkigise,it (animate; wood) splits,vai,"{'verbs': ['split'], 'templates': ['{{subject}} split']}"
zhaazhiibinikeni,s/he extends h/ arms out (repeatedly),vai,"{'verbs': ['extend'], 'templates': [""{{subject}} extend one's arms out (repeatedly)""]}"
gopii,"s/he goes up from the water, goes inland, goes into the woods",vai,"{'verbs': ['go'], 'templates': ['{{subject}} go up from the water', '{{subject}} go inland', '{{subject}} go into the woods']}"
bagamaanimanishi,s/he gets caught in a gust of wind,vai,"{'verbs': ['get'], 'templates': ['{{subject}} get caught in a gust of wind']}"
akwaandawe,"s/he climbs up, climbs, goes upstairs",vai,"{'verbs': ['climb', 'go'], 'templates': ['{{subject}} climb up', '{{subject}} climb', '{{subject}} go upstairs']}"
